Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
46	:	1695760563.888	    30.826	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/54250441/romanos_72.mp3
47	:	1695760594.727	    28.556	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/54250442/romanos_73.mp3
48	:	1695760623.290	    30.740	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/54250443/romanos_71.mp3
49	:	1695760654.036	    31.719	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/54496898/romanos_75.mp3
50	:	1695760685.761	    33.273	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/54496899/romanos_76.mp3
51	:	1695760719.040	    30.516	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56263241/romanos_92.mp3
52	:	1695760749.562	    29.053	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/54496900/romanos_74.mp3
53	:	1695760778.621	    30.267	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/54960816/romanos_79.mp3
54	:	1695760808.895	    31.921	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/54960817/romanos_77.mp3
55	:	1695760840.822	    30.875	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/55994188/romanos_81.mp3
56	:	1695760871.704	    30.716	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/55994189/romanos_82.mp3
57	:	1695760902.426	    27.882	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56039998/romanos_85.mp3
58	:	1695760930.315	    27.800	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56039999/romanos_84.mp3
59	:	1695760958.121	    28.763	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56263242/romanos_93.mp3
60	:	1695760986.890	    30.865	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56040000/romanos_83.mp3
61	:	1695761017.761	    28.267	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56118380/romanos_86.mp3
62	:	1695761046.034	    27.657	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56118381/romanos_88.mp3
63	:	1695761073.698	    28.706	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56118382/romanos_87.mp3
64	:	1695761102.408	    27.520	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56231733/romanos_89.mp3
